state,year,CE,DF,CA,SI,IR,IP,synthetic,generated_at
Andhra Pradesh,2020,48.90048728500529,58.030564116000754,63.01346643898917,78.78498835550259,54.00101890804209,60.65612824465316,True,2026-07-12T07:31:30.436957+00:00
Andhra Pradesh,2021,54.09592718436328,55.30723477833093,64.56183006436136,77.63959107094684,51.74320765987299,65.74037387034866,True,2026-07-12T07:31:30.436957+00:00
Andhra Pradesh,2022,56.5749519920194,58.49543218209763,50.962176198686635,77.07753106076802,58.96532401167594,67.48409750800042,True,2026-07-12T07:31:30.436957+00:00
Andhra Pradesh,2023,52.14009587515471,64.84100377986861,53.84489600613147,81.26442836086443,53.71889292485249,62.777883593292216,True,2026-07-12T07:31:30.436957+00:00
Andhra Pradesh,2024,53.654970655821835,58.7799709207428,63.53447339614813,79.04939505031355,48.15640733823744,63.02910200859554,True,2026-07-12T07:31:30.436957+00:00
Andhra Pradesh,2025,59.26045225210209,53.63728432705654,52.4538182168055,71.59168032563714,55.32713083507428,64.94298524425263,True,2026-07-12T07:31:30.436957+00:00
Arunachal Pradesh,2020,36.415308749295335,65.03331800967686,48.738844009413114,56.71294735721538,29.80297697638451,43.94688753829823,True,2026-07-12T07:31:30.436957+00:00
Arunachal Pradesh,2021,39.946448438185364,55.866438943735915,49.65370776137539,55.83486830201803,38.028190376229254,42.78191513938164,True,2026-07-12T07:31:30.436957+00:00
Arunachal Pradesh,2022,32.667952932068175,60.88737936229629,53.62473646828369,58.18431611135283,29.42104017844737,44.58136518257617,True,2026-07-12T07:31:30.436957+00:00
Arunachal Pradesh,2023,34.905801855581416,60.54189305485769,40.95192724962705,51.250538273363496,39.2271639512565,44.99591248794389,True,2026-07-12T07:31:30.436957+00:00
Arunachal Pradesh,2024,37.95615236685977,55.061567143682055,49.26451110583064,61.23694946326007,29.786740344620554,38.06997869049281,True,2026-07-12T07:31:30.436957+00:00
Arunachal Pradesh,2025,31.022236567752866,60.26185762612907,44.79326673073746,56.51338023489961,35.118918551085436,48.743444132775124,True,2026-07-12T07:31:30.436957+00:00
Assam,2020,63.20271554421648,52.91189323729366,58.91731238067753,76.13915841481153,65.45830862438383,65.00630482103088,True,2026-07-12T07:31:30.436957+00:00
Assam,2021,61.324052321326036,51.70070903963181,71.81108597935022,82.41482038741476,62.117415475666206,70.39317544705834,True,2026-07-12T07:31:30.436957+00:00
Assam,2022,60.25234815669266,61.36205704765077,67.05032448221719,84.64150031402714,57.13928047398753,72.84357666665531,True,2026-07-12T07:31:30.436957+00:00
Assam,2023,57.68065924020502,45.66171243112904,59.31504485032197,78.69521618617313,70.07328239319467,70.28358379602163,True,2026-07-12T07:31:30.436957+00:00
Assam,2024,51.966178725282404,45.338690452514925,62.677814676719365,89.68718460682264,66.43252267116888,74.42405766553429,True,2026-07-12T07:31:30.436957+00:00
Assam,2025,64.7390530368317,45.82097718074466,49.920385054362725,92.31664315673598,73.7404223955558,92.69685339838088,True,2026-07-12T07:31:30.436957+00:00
Bihar,2020,57.7418194234166,49.31164021312924,68.8194131638032,85.7653258610038,60.04376526931657,72.22311987659111,True,2026-07-12T07:31:30.436957+00:00
Bihar,2021,52.12060880782095,47.19302105453061,61.257654881828074,94.4486107993514,63.81529656067476,70.65309680076794,True,2026-07-12T07:31:30.436957+00:00
Bihar,2022,59.561842243323746,42.602570053124765,56.90583462866918,84.68403367831505,65.75984335323264,81.72842715777965,True,2026-07-12T07:31:30.436957+00:00
